date,time,dinning_temp,room_temp,outdoor_temp,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,11:45,18.1875,17.8275,18.115,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,12:00,18.4633,18.1207,18.4147,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,12:15,18.7673,18.4367,18.8533,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,12:30,19.0727,18.7513,19.2907,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,12:45,19.3721,19.0414,19.74,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,13:00,19.6407,19.2773,20.166,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,13:15,19.912,19.5367,20.566,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,13:30,20.164,19.7307,20.8427,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,13:45,20.412,19.9693,21.204,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,14:00,20.64,20.1407,21.5227,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,14:15,20.8453,20.3267,21.756,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,14:30,21.0333,20.4713,21.984,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,14:45,21.2333,20.9093,22.108,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,15:00,21.4293,21.4253,22.1373,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,15:15,21.488,21.8467,22.08,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,15:30,21.524,22.1573,21.9373,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,15:45,21.584,22.404,21.7067,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,16:00,21.612,22.7307,21.4667,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,16:15,21.664,22.9373,21.1773,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,16:30,21.6853,23.2,20.9373,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,16:45,21.788,23.436,20.7107,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,17:00,21.832,23.668,20.4627,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,17:15,21.808,23.852,20.2047,,,,,,,,,,,,,,,,,,,,,,,
13/03/2012,17:30,21.768,24.0213,19.976,,,,,,,,,,,,,,,,,,,,,,,
